obs.index,orig.t,obs.t,orig.status,obs.clean.status,t.cen,orig.dura,obs.clean.duration,obs.dur.censor,State_rnk,Neighb,Host
1,82,82,1,1,0,NA,NA,0,1,"3,4,12,20",2
2,83,83,1,1,0,NA,NA,0,1,"3,4,12,20",2
3,106,106,1,1,0,NA,NA,0,1,"3,4,12,20",2
4,106,106,1,1,0,NA,NA,0,1,"3,4,12,20",2
5,120,120,1,1,0,NA,NA,0,1,"3,4,12,20",3
6,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",2
7,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",2
8,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",2
9,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",2
10,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
11,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
12,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
13,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
14,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
15,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
16,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
17,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
18,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
19,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
20,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",1
21,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
22,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
23,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
24,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
25,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
26,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
27,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
28,204,NA,0,0,204,NA,NA,0,1,"3,4,12,20",3
29,106,106,1,1,0,73,73,0,2,"10,14,18",2
30,106,106,1,1,0,73,73,0,2,"10,14,18",2
31,119,119,1,1,0,60,60,0,2,"10,14,18",1
32,135,135,1,1,0,68,68,0,2,"10,14,18",1
33,149,149,1,1,0,30,30,0,2,"10,14,18",2
34,152,152,1,1,0,30,30,0,2,"10,14,18",3
35,204,NA,0,0,204,NA,NA,0,2,"10,14,18",2
36,204,NA,0,0,204,NA,NA,0,2,"10,14,18",3
37,204,NA,0,0,204,NA,NA,0,2,"10,14,18",3
38,204,NA,0,0,204,NA,NA,0,2,"10,14,18",1
